model,split,log_loss,brier,ece,accuracy,n
logistic_regression,test,0.8610241765050922,0.5071289254872484,0.02356733826722927,0.6005004170141784,2398
xgboost,test,0.8663044026516172,0.5104863277252331,0.018150889358985806,0.6025854879065888,2398
lightgbm,test,0.8744197164678155,0.5147596481936662,0.01972684155550828,0.5954962468723937,2398
elo_only,test,1.0102259820644166,0.5546438578172141,0.1021772738545634,0.5946622185154296,2398
uniform_1/3,test,1.0986122886681096,0.6666666666666669,0.1362246316374756,0.469557964970809,2398
logistic_regression,val,0.8505735990606008,0.4989867155095613,0.024415919933411863,0.6176470588235294,1054
lightgbm,val,0.8552449694519099,0.5018785132524471,0.03253624931007035,0.6091081593927894,1054
xgboost,val,0.8572271925910359,0.503303057757938,0.024533348020159076,0.6081593927893738,1054
elo_only,val,0.9761985363103322,0.5431211403868061,0.09316593713756392,0.6062618595825426,1054
uniform_1/3,val,1.0986122886681096,0.6666666666666666,0.13345983554712215,0.4667931688804554,1054
